#combined xs C1C1 and N2C1 production
#mass[GeV] xsec[fb] unc.[fb]
100 34282.0 1492.58
125 15125.32 707.073
150 7793.17 391.379
175 4435.7 237.6532
200 2709.959 155.0571
225 1744.654 104.8741
250 1170.021 74.0594
275 810.816 53.6969
300 577.095 39.804
325 419.997 30.2036
350 311.638 23.20651
375 234.8942 18.12166
400 179.6441 14.34419
425 138.9899 11.45094
450 108.7504 9.21173
475 85.9153 7.46229
500 68.4798 6.11365
525 55.003 5.06683
550 44.479 4.20433
575 36.2064 3.49852
600 29.63633 2.956704
625 24.37141 2.470938
650 20.16274 2.074079
675 16.73392 1.760889
700 13.94902 1.498043
725 11.66625 1.271042
750 9.80217 1.100341
775 8.25218 0.937683
800 6.9704 0.809257
825 5.88788 0.680124
850 5.00382 0.590121
875 4.25246 0.516332
900 3.64968 0.449841
925 3.110476 0.382549
950 2.659179 0.344768
975 2.282362 0.2955882
1000 1.965386 0.2527045
1025 1.695053 0.2224424
1050 1.456619 0.1900119
1075 1.263834 0.1682571
1100 1.082998 0.1499452
1125 0.948407 0.1332177
1150 0.818002 0.1201634
1175 0.711586 0.0946174
1200 0.611895 0.0843387
1225 0.530569 0.0776718
1250 0.465194 0.0663223
1275 0.405204 0.0603705
1300 0.356384 0.0527121
1325 0.3087041 0.0431179
1350 0.2737664 0.0445195
1375 0.2392417 0.0362769
1400 0.1997411 0.0303304
1425 0.1802445 0.02788131
1450 0.1614145 0.02443321
1475 0.1385566 0.02517259
1500 0.1214508 0.02020262
