# M2[GeV] M1[GeV] xsec[fb] uncertainty[fb]
 115    5 20553.0200     7.4912
 115   30 20504.5900     7.4864
 115   55 20546.2200     7.4885
 115   80 20502.1700     7.4841
 115  105 20504.7000     7.4446
 140    5  9990.9140     3.6618
 140   30  9991.3940     3.6648
 140   55  9971.7930     3.6637
 140   80 10002.6010     3.6625
 140  105  9995.6300     3.6619
 140  130 10007.9000     3.6405
 165    5  5500.3580     2.0173
 165   30  5480.5340     2.0159
 165   55  5470.6740     2.0165
 165   80  5500.8720     2.0206
 165  105  5501.3300     2.0200
 165  130  5473.0600     2.0133
 165  155  5473.3000     2.0031
 190    5  3280.1643     1.2043
 190   30  3258.2398     1.1997
 190   55  3258.2970     1.1997
 190   80  3256.3640     1.2034
 190  105  3256.4830     1.2034
 190  130  3258.7700     1.2000
 190  155  3256.8370     1.2031
 190  180  3261.7100     1.1939
 215    5  2046.0855     0.7607
 215   30  2056.1213     0.7604
 215   55  2062.1482     0.7603
 215   80  2056.1765     0.7604
 215  105  2056.2166     0.7604
 215  130  2055.2940     0.7602
 215  155  2046.4830     0.7607
 215  180  2051.1850     0.7597
 215  205  2051.8100     0.7551
 240    5  1345.0489     0.5022
 240   30  1351.0678     0.5013
 240   55  1345.0812     0.5022
 240   80  1351.0944     0.5013
 240  105  1358.1113     0.5011
 240  130  1351.1385     0.5013
 240  155  1351.1913     0.5013
 240  180  1354.3210     0.5008
 240  205  1350.8060     0.5009
 240  230  1350.5800     0.4974
 265    5   915.0303     0.3430
 265   30   920.0411     0.3430
 265   55   920.0481     0.3430
 265   80   915.0549     0.3430
 265  105   915.0630     0.3430
 265  130   920.0743     0.3430
 265  155   920.0937     0.3430
 265  180   924.1313     0.3425
 265  205   924.2243     0.3425
 265  230   919.5740     0.3425
 265  255   914.8900     0.3403
 290    5   646.0202     0.2416
 290   30   646.0267     0.2416
 290   55   652.0304     0.2411
 290   80   642.0343     0.2415
 290  105   648.0385     0.2410
 290  130   648.0440     0.2410
 290  155   646.0520     0.2416
 290  180   648.0661     0.2410
 290  205   645.0941     0.2413
 290  230   648.1610     0.2410
 290  255   645.4180     0.2413
